COUNTY,CITY,AVGWAGE,DEPOSIT,FAI,GOVREV,GOVEXP,GDP,GDPPC,GIO,LOAN,NRINCPC,EMPLOYEE,RURALEMPLYEE,TOTALHH,RURALHH,INDUSTRY,RURALPOP,TOTALPOP,OVA,OVS,URBINCOME
Anhua,Yiyang,30544,10967,6831.7,456.72,2703,13225,14567,9276.9,3954.9,3528.3,494.31,441.4,290.4,234.5,101,670.3,910.8,4942.253,5414.5,12373
Anren,Chenzhou,28058,4598.9,6386.1,220.57,1454.7,4941.2,12761,4189.2,2555.3,3271.8,290.82,255.4,104.6,121.9,34,243.2,388.7,2357.764,3814.1,16072
Anxiang,Changde,31935,5517.2,3541,243.64,1779.5,12482,23667,5108.9,2806.9,7693.7,336.39,270.5,148.1,135.4,53,346,528.3,4524.41,14100,16610
Baojing,Hunan West,30843,2250,1005.4,192.59,1379.1,4087.9,14563,3623.5,1253.7,4191.3,195.17,145.6,73.2,69.9,18,184.1,281.3,1118.561,541.8,13455
Chaling,Zhuzhou,31251,8241.4,6508.4,620.19,1947,11585,20078,9157.7,4287.4,3887.7,330.29,299,148.7,139.4,106,301.6,578.4,3793.55,5444,20461
Changning,Hengyang,28518,10860,7920,769.86,2631.6,19886,24418,37392,4242.8,9528,548.61,415.1,211.2,211.7,115,448.2,816.3,6430.782,13074.6,20868
Changsha,Changsha,54540,24332,33624,5350,7885.5,88009,88656,51361,40534,17070,670.82,452,300.3,248.4,214,475.1,998.6,13107.148,17726.6,183252
Chengbu,Shaoyang,28597,2580.6,1922.3,160.73,1191.6,2569.5,10132,1681.4,1232,3271.8,162.48,127.6,76.1,59.6,17,189.6,256.7,1356.95,1215.1,12379
Chenxi,Huaihua,33580,4990,5818.4,460.49,1724.2,7755.2,17026,6644.5,3220,4777,308.43,214.4,139.5,110.5,55,311.7,456.7,2257.52,1306.3,14595
Cili,Zhangjiajie,33099,8116.9,4498.1,499.77,2306.2,11378,18714,5843.3,5503.4,5031.8,381.2,334.8,211.4,174.5,70,379.4,610.4,3112.731,5005.6,15603
Dao,Yongzhou,32541,7245,7922,461.66,2013.5,11034,18059,2393.8,2873.5,9000,381.53,344.3,158.7,157.9,44,388.2,613.6,5602.035,8411.1,16305
Dongan,Yongzhou,36713,6549.3,9158,434.07,1720.6,11495,20901,11597,3320.6,9116.7,322.25,278.1,166.5,163,84,366,551.2,4866.481,6784.4,20265
Dongkou,Shaoyang,31483,9489.6,8703.2,374.96,2209.5,10286,13240,10568,4120.3,3792.5,583.56,499.2,262.4,220.4,74,523.1,780.9,6025.184,9116.8,15375
Fenghuang,Hunan West,31608,4008.7,2550,406.51,1763.6,4681.2,13382,848.99,2863,4681.2,250.73,195.4,90.1,80.5,17,255.5,351.3,1206.261,651.1,14281
Guidong,Chenzhou,30149,2200.1,2512.9,111.19,880,1955.9,8497,1202.6,1437.2,3130.4,138.53,115.2,64.8,65.4,14,150.1,231.8,630.016,911.1,12290
Guiyang,Chenzhou,41394,9664.8,15712,1309.2,2727.5,23023,32853,36820,4860.1,10271,517.18,430.9,231.8,217.5,127,420.4,704.1,8804.639,14791.5,64517
Guzhang,Hunan West,28610,1563.8,1021.7,108.4,959.6,1490.4,11580,513.95,849.56,3595.9,98.421,74.6,35.2,31.4,10,85.2,129,527.23,504,11954
Hanshou,Changde,32265,7979,8665,386.13,2062.4,15788,20981,13491,4550,8269.9,456.78,388.8,240.2,208.7,95,553.2,804.6,6545.35,17727,18925
Hengdong,Hengyang,30992,8661,6665,542.25,1937.4,17409,27485,17305,4118,10829,388.34,284.5,164.4,167.4,96,426.4,634.9,5972.961,11278.5,19800
Hengnan,Hengyang,28031,3288.9,9531.4,804.91,2894.4,21019,21911,20953,4013,9872.9,601.57,503.6,256,274.3,118,629.1,961.4,8624.68,15914,18683
Hengshan,Hengyang,28688,5944.6,4871.1,451.46,1393.7,9718.9,25172,8571.5,2221.5,10619,291.12,261.9,103.7,101,89,256.4,387,3505.269,6233.5,17732
Hengyang,Hengyang,27760,14680,11145,597.66,2778.8,21495,19382,18288,5549.6,10313,686.52,500.2,299.2,247.7,120,733.4,1111.6,12451.938,23139.2,124392
Hongjiang,Huaihua,37686,5966,6515.5,623.95,2067.8,7355.5,17733,13750,3272.2,6553.5,229.4,199.9,136.1,124.7,76,260.9,415.8,2588.25,202.8,27334
Huarong,Yueyang,26832,8116.4,14292,365.84,1933.9,21654,30413,40193,4564.8,10367,442.97,359.2,202.3,170.2,151,430.3,714.1,7690.52,10050.6,21501
Huayuan,Hunan West,31708,3669.8,2200,331.78,1503.7,5905.9,20337,9257.6,2463.6,4353.8,214.79,149.8,76.9,59.9,74,188.1,291.1,883.722,533.2,15467
Huitong,Huaihua,33693,4615,2617.4,295,1306.7,4588.3,14334,2095.6,1369.3,4631.9,246.15,193.5,96.7,114.4,25,234.5,320.9,1580.09,5.2,13989
Jiahe,Chenzhou,36023,5493.1,4864.3,453.68,1331.5,9608.2,32091,14882,1906.5,7903.3,242.8,198.9,99,108.5,100,179.6,301.3,2276.272,3230.2,17744
Jianghua,Yongzhou,34378,4586.4,4631.5,309.7,1651.4,6555.9,15801,3357.1,2976,3225.3,306.31,272.7,109.9,116.1,33,285.1,416.7,3272.511,10533.8,16274
Jiangyong,Yongzhou,30250,3198.2,3942.5,187.23,1009.1,4012.2,17168,2022.7,1201.2,3253.9,153.58,132.8,68.3,61.2,25,163.5,234.3,2862.901,9773.3,16634
Jingzhou,Huaihua,33870,3592.8,2031.4,237.51,1129,5007.7,20348,4534.1,1566.5,5397.3,163.91,112.6,69.1,56.1,32,140.6,246.7,1769.328,337.5,12859
Jinshi,Changde,28692,4581.7,4777,373.31,1148.4,8706.9,34592,10935,2242,8169.9,122.78,82.1,81.9,43.7,77,92.4,251.8,2562.46,7525,19498
Jishou,Hunan West,39816,9586.2,5235,470.22,1738.2,9631.5,31537,6345.7,8282.9,4823,213.42,97,99.2,46.5,49,85.2,306.6,849.01,611.6,17980
Lanshan,Yongzhou,33756,4236,3986.7,296.68,1194.6,6627.2,20088,5392.1,1599.4,8672.1,233.39,201.5,83.3,90.7,52,198.2,330.9,2262.021,10341.9,19161
Leiyang,Hengyang,32814,15393,18687,1535.2,3819,30213,26105,42707,7409.2,10611,750.12,553.7,338.1,281.2,155,629.3,1160.2,8349.199,19981.6,19634
Lengshuijiang,Loudi,35647,6805.3,9746.8,1054.2,2105.3,21243,64257,36926,8936.6,10441,191.32,101.8,112.4,56.9,118,78.4,332.6,1277.869,991.8,23120
Li,Changde,32541,13487,16066,709.61,2459.5,20322,24473,18402,6748,8377,513.44,426.8,268.5,256,96,539.7,832.5,7562.34,53160,18985
Lianyuan,Loudi,30320,8059.7,9255.3,707.45,3298.6,18340,18346,20515,7243.2,4307.7,706.84,612.9,316.2,298.7,154,712.6,1001.5,7642.158,5965.4,38131
Liling,Zhuzhou,42896,12865,19125,2602.6,4221.4,39553,41491,57146,9398.1,13347,639.83,513.1,248.4,229.7,482,473.2,958,5373.99,17378,24185
Linli,Changde,32667,564.1,7781.2,336.86,1538.7,10355,25554,8214,358,8143.1,307.36,272.2,129.1,157.2,99,246.6,409.3,3583.91,7031,18604
Linwu,Chenzhou,32031,5984,5734.3,478.92,1435.2,8191.1,23986,6250.7,2152.7,7102.2,215.3,184.1,101.5,88,67,227.5,342.8,1606.947,2632.2,17966
Linxiang,Yueyang,31669,5850.5,10852,319.2,1609,15968,31897,29988,3788.2,9739,293.5,212.5,138.6,136.7,123,286.1,502.3,3357.477,2994.6,20628
Liuyang,Changsha,40446,21415,43599,2473.1,4605.5,81113,63118,99254,23408,15719,919.62,721.4,374.8,369.8,733,642.7,1285.5,10844.47,26617.8,27345
Longhui,Shaoyang,33615,11925,8723.9,425.06,2741.6,10511,9572,9317.9,3985.5,3177.6,709.99,604.4,344.6,298.8,85,834.1,1098.2,4320.396,3264.6,12049
Longshan,Hunan West,34203,5557,2810,218.53,2052.4,4933.6,9754,893.45,2128.2,4164,334.42,266.7,148.2,126.1,18,345.8,508.3,2248.709,921.5,13138
Luxi,Hunan West,32680,2946.8,1772,184.25,1337.6,4878.3,17472,7085.6,1626.6,4089.1,197.49,149.7,82.4,71.1,42,174.3,280.3,1036.088,540.8,13247
Mayang,Huaihua,32772,3456,2703.1,215.86,1461,4738.8,13744,3876.9,2242,4299.8,216.85,160,90.3,87.8,33,245,345.6,1865.938,5.2,14487
Miluo,Yueyang,36113,4749.3,15828,1068.6,2446.5,29548,42497,66342,3330.6,9421.3,451.27,303.3,204.9,193.6,269,351.4,697,5688.717,8978.5,23379
Nan,Yiyang,35272,8921.7,3367.5,300,1987.1,15568,21311,11804,4928.1,8369.8,366.1,325.6,259.2,201.3,91,455.9,732.8,7783.359,6781.7,17691
Ningxiang,Changsha ,40744,18662,49234,2448.9,4812.2,73250,62202,114145,18435,13763,852.96,757.6,391.7,369.6,552,655.5,1186.5,12804.48,18447.7,24020
Ningyuan,Yongzhou,34190,7351.4,7716.5,514.24,2234.4,8984.3,12697,5627.8,4249.4,4151.5,444.92,401.3,185.5,157.8,64,460.9,710.2,4283.431,9958.4,19742
Pingjiang,Yueyang,30017,8718.4,10627,461.62,2827,16444,17252,25647,5201.2,3780.8,601.38,512.8,260.9,269.9,136,612.5,957.5,5060.948,8789.3,14883
Qidong,Hengyang,30990,13633,6875.7,463.91,2413.2,17718,18001,26260,4246.1,9020.6,607.64,529.2,289.2,287.3,115,627.8,986.4,7380.18,15451.7,18256
Qiyang,Yongzhou,32059,14432,14439,499.51,2710.5,17705,20638,11567,6388.3,8816,594.1,495.2,241.9,255.1,107,519.9,860.7,6273.597,13568.8,19776
Rucheng,Chenzhou,35575,4777.6,3816.6,343,1492.7,3756,11286,4492.2,2426.2,2993.7,232.28,197.3,111.3,101.6,43,235.7,333.2,2079.963,1744.7,13755
Sangzhi,Zhangjiajie,33916,3920,3081.3,248.06,1856.1,5615.4,14624,1694.8,2981.2,3405.9,267.15,234.5,127.9,122.8,28,256.9,385.5,3607.897,17585.8,45167
Shaodong,Shaoyang,31507,16184,12214,771.6,2757,22898,25246,29175,7855.3,10089,724.31,547.7,363.2,297.8,148,524.9,912.1,5704.602,4679.3,18296
Shaoshan,Xiangtan,33314,2626.4,4500,258.64,683.65,4956.8,55570,9717.6,1649,14916,73.652,62,27.147,30.4,48,57.7,92.3,807.714,1630.3,24991
Shaoyang,Shaoyang,31783,8345.7,7237.3,376.42,2780.8,9031.2,9653,7887.8,2425.3,3499.3,655.13,569.2,265.4,247.9,65,657.6,942.3,5518.299,21656.5,65431
Shimen,Changde,33261,8334.4,10531,548.33,2178.8,16293,27137,17795,6026.5,6156,392.05,329.6,190.6,184.7,122,399.2,600.5,5266.51,6981,19275
Shuangfeng,Loudi,33684,11455,7904.9,470.59,2657.5,15225,17755,16665,3914,5470.3,559.47,488.5,244.3,245.6,129,644.6,859.4,7943.893,2613.1,14994
Shuangpai,Yongzhou,33302,1918,3572,226.37,881.96,3728,21942,2646.3,2056.4,4568.1,86.264,68,57.6,39.5,34,111.6,174.1,1866.171,9092.1,18479
Suining,Shaoyang,31750,4307.1,3605.6,222.4,1442.5,5658.1,16069,11150,1566.4,4990.4,264.08,208.9,108.8,86.3,54,268.4,352.9,2064.499,1413.5,15004
Taojiang,Yiyang,35184,8657.4,8743,417.37,2276.8,15162,19509,18691,4656.8,8687.9,472.8,411.4,260.9,208.8,153,504.5,779.7,13878.842,13439.3,79214
Taoyuan,Changde,31877,11948,8656,710.08,2625.1,19603,22879,16529,4735,7682.6,558.77,479.9,274.5,272,60,607.4,857.1,18328.46,50619,60461
Tongdao,Huaihua,35400,2578,1525.4,165.59,1046.5,2653.2,12781,2514.5,1021,3696.4,144.49,105.5,57.9,49.7,27,154.2,208.1,981.418,644.2,12424
Wangcheng,Changsha,45171,12122,48829,2285.5,3802.3,37488,70666,148976,10330,16495,361.48,268.6,161.3,154.8,314,266.6,533.4,5222.356,6648.6,27690
Wugang,Shaoyang,30573,8618,7373.3,486.85,2346,9046.7,12112,5346,3852,4864.4,483.62,402.5,243.9,194,52,502.9,752.3,4613.704,1734.7,15126
Xiangtan,Xiangtan,35274,15516,10121,1236.6,3050.1,22728,27060,30730,12217,10135,610.49,551.9,248.59,239.1,187,574,845.2,10688.618,40758,69261
Xiangxiang,Xiangtan,33040,13298,9819,975.59,2942.8,23175,29361,39630,7900.3,9264.3,586.4,492,231.71,242,189,535.7,787.8,6852.943,17531.9,22297
Xiangyin,Yueyang,33169,5466.1,14714,520.53,2318.8,23265,33983,49507,5222.9,8824.5,466.11,357.4,193.8,190.1,152,408.4,686.9,6000.857,8175,19945
Xinhua,Loudi,32496,11075,6725.3,576.47,3599.5,14940,13398,12152,6121.2,3342.4,755.14,677.9,316.6,313.8,112,817.4,1116.7,6919.849,3145.3,13834
